# NetHack-es bulk C translations: msgid<TAB>msgstr
# Format: one entry per line, tab-separated
# Lines starting with # are comments
%s smiles %s at your %sdisplaced image...	%s sonrie %s a tu %simagen desplazada...
%s%s!	¡%s%s!
%s.	%s.
%s doesn't seem to notice that %s gaze was reflected.	%s no parece notar que su mirada fue reflejada.
KADOOM!  The boulder falls in!	¡KADOOM!  ¡La roca cae dentro!
disturb the honorable dead!	¡molestas a los muertos honrados!
unearth a corpse.	desentierra un cadaver.
hit yourself with %s.	golpearte con %s.
need an axe to cut down a tree.	necesitas un hacha para talar un arbol.
need a pick to dig rock.	necesitas un pico para cavar roca.
crashing rock.	roca aplastandose.
attempt a teleport spell.	intenta un hechizo de teleporte.
No objects here or adjacent to bury.	No hay objetos aqui ni adyacentes para enterrar.
(For instructions type a '%s')	(Para instrucciones escribe '%s')
Move cursor to %s:	Mueve el cursor a %s:
Can't find dungeon feature '%c'.	No se encuentra la caracteristica de mazmorra '%c'.
bad killer format? (%d)	¿formato de asesino erroneo? (%d)
unknown lycanthrope %s.	licantropo desconocido %s.
%s changes into a %s.	%s se transforma en un %s.
sense the presence of monsters.	sientes la presencia de monstruos.
Monsters sense the presence of you.	Los monstruos sienten tu presencia.
seems to be nothing of interest on this level.	parece no haber nada interesante en este nivel.
%S too much to comprehend!	¡%s demasiado para comprender!
find a hidden door.	encuentras una puerta oculta.
find a hidden passage.	encuentras un pasadizo oculto.
Showing %s only...	Mostrando solo %s...
remember this level as %s.	recuerda este nivel como %s.
quest_info(%d)	quest_info(%d)
arrive in heaven.	llegas al cielo.
Unfortunately, you don't know how to fly.	Desafortunadamente, no sabes volar.
activated a magic portal!	¡has activado un portal magico!
briefly feel %s.	sientes brevemente %s.
%s destination.	%s destino.
%s seems disoriented.	%s parece desorientado.
throw %s with your bare %s.	lanza %s con tu %s desnudo.
hit the door frame!	¡golpeas el marco de la puerta!
smack into something!	¡chocas contra algo!
come to an abrupt halt!	¡se detiene en seco!
pass right over %s.	pasa justo por encima de %s.
turn to stone.	se convierte en piedra.
%s to your hand!	¡%s a tu mano!
Unknown type of gloves (%d)	Tipo de guantes desconocido (%d)
%s catches %s.	%s atrapa %s.
breaking odd object (%d)?	¿rompiendo objeto extrano (%d)?
%s shatter!	¡%s se hace pedazos!
were wearing %s.	llevabas %s.
move very quietly.	se mueve muy silenciosamente.
float imperceptibly.	flota imperceptiblemente.
walk very quietly.	camina muy silenciosamente.
suddenly inhale an unhealthy amount of %s!	¡de repente inhalas una cantidad danina de %s!
Strange... I didn't know you had that ring.	Extrano... no sabia que tenias ese anillo.
still cannot see.	aun no puedes ver.
cursed without otmp	maldito sin otmp
narrowly avoid losing all chance at your goal.	evitas por poco perder toda oportunidad de tu objetivo.
no longer have ammunition readied.	ya no tienes muncion preparada.
continue %s.	continua %s.
bad mplayer monster	monstruo mplayer erroneo
Talk? -- %s	¿Hablar? -- %s
Punished without uball?	¿Castigado sin uball?
dead without dying?	¿muerto sin morir?
No creatures have been genocided%s.	Ninguna criatura ha sido genocidada%s.
There's a tiger in your tank.	Hay un tigre en tu tanque.
%s seems unaffected.	%s parece no afectado.
Thou must relearn thy lessons!	¡Debes reaprender tus lecciones!
Hark, %s!	¡Oye, %s!
%s accepts your allegiance.	%s acepta tu lealtad.
%s rejects your sacrifice!	¡%s rechaza tu sacrificio!
find the idea very satisfying.	encuentras la idea muy satisfactoria.
begin praying to %s.	empiezas a rezar a %s.
unknown alignment.	alineamiento desconocido.
Thou shalt pay, infidel!	¡Pagaras, infiel!
stop %s.	para %s.
explosion type %d?	¿tipo de explosion %d?
explosion base type %d?	¿tipo de explosion base %d?
%s apart.	%s aparte.
stone breaking.	piedra rompiendose.
stone crumbling.	piedra desmoronandose.
exploding unlit oil	aceite sin encender explotando
%s hot!	¡%s caliente!
%s very warm.	%s muy calido.
%s warm.	%s calido.
notice a %s glow surrounding you.	notas un resplandor %s a tu alrededor.
%s laughs fiendishly.	%s rie demoniacamente.
Relinquish the amulet, %s!	¡Entrega el amuleto, %s!
seem no deader than before.	no parece mas muerto que antes.
bad wizard cloning?	¿clonacion de mago erroneo?
%s from nowhere!	¡%s de la nada!
suddenly feel weaker!	¡de repente te sientes mas debil!
struggle to keep your balance.	luchas por mantener el equilibrio.
stiffen briefly.	se queda rigido brevemente.
invalid artifact origin: %4o	origen de artefacto invalido: %4o
Weird weapon special attack.	Ataque especial de arma extrano.
lose magical energy!	¡pierde energia magica!
absorb magical energy!	¡absorbe energia magica!
release %s!	¡suelta %s!
attacking yourself with weapon?	¿atacandote a ti mismo con un arma?
Somehow, you miss %s wildly.	De algun modo, fallas a %s salvajemente.
Somehow, %s misses wildly.	De algun modo, %s falla salvajemente.
Somehow, %s misses you wildly.	De algun modo, %s te falla salvajemente.
arti_invoke without obj	arti_invoke sin obj
Unknown invoke power %d.	Poder de invocacion desconocido %d.
This doorway has no door.	Esta entrada no tiene puerta.
This door is broken.	Esta puerta esta rota.
In fact, you've totally destroyed %s.	De hecho, has destruido totalmente %s.
succeed in forcing the lock.	logras forzar la cerradura.
I don't think %s would appreciate that.	No creo que %s lo agradeciera.
start bashing it with %s.	empieza a golpearlo con %s.
decide not to force the issue.	decides no forzar la situacion.
This door is already closed.	Esta puerta ya esta cerrada.
magic (%d) attempted on door.	magia (%d) intentada en la puerta.
escaped the shop without paying!	¡escapo de la tienda sin pagar!
This shop %s %s.	Esta tienda %s %s.
%s senses your presence.	%s siente tu presencia.
Invisible customers are not welcome!	¡Los clientes invisibles no son bienvenidos!
Back again, %s?  I've got my %s on you.	¡Otra vez, %s?  Te tengo puesto el ojo.
%s mutters imprecations against shoplifters.	%s murmura imprecaciones contra los ladrones.
cad: unknown gender	cad: genero desconocido
Unrecognized gradient type! Defaulting to radial...	¡Tipo de gradiente no reconocido!  Usando radial por defecto...
wormgone: wormno is 0	wormgone: wormno es 0
cutworm: no segment at (%d,%d)	cutworm: no hay segmento en (%d,%d)
cut %s in half.	corta %s por la mitad.
worm_sanity: null monster!	worm_sanity: ¡monstruo nulo!
worm_sanity: not a worm!	worm_sanity: ¡no es un gusano!
murderer!	¡asesino!
... and returns to normal.	... y vuelve a la normalidad.
hide under %s.	se esconde bajo %s.
notice a bovine smell.	notas un olor a bovino.
%s stinks.	%s apesta.
notice a dog smell.	notas olor a perro.
%s smells moldy.	%s huele a moho.
notice an attractive smell.	notas un olor atractivo.
eat the boulder.	come la roca.
crash to the floor!	¡se estampa contra el suelo!
fell on %s.	cayo sobre %s.
ooze under the door.	se cuela por debajo de la puerta.
disentangle yourself.	te desenredas.
stop in front of %s.	se detiene frente a %s.
collapse under your load.	colapsas bajo tu carga.
pass out from exertion!	¡desmayas del esfuerzo!
start flying.	empieza a volar.
enter a leprechaun hall!	¡entras en una sala de duendes!
enter an anthole!	¡entras en un hormiguero!
enter an abandoned barracks.	entras en un cuartel abandonado.
stop in front of the door.	se detiene frente a la puerta.
%s is about to die.	%s esta a punto de morir.
simple_look(null)	simple_look(null)
Touching %s is a fatal mistake.	Tocar %s es un error fatal.
query_category: too many categories	query_category: demasiadas categorias
Ok, now there is loot here.	Ok, ahora hay botin aqui.
open %s...	abre %s...
That %s will cost you %ld %s.	Ese %s te costara %ld %s.
%s steals %s!	¡%s roba %s!
Tried to steal a strange worn thing. [%d]	Intento robar algo extrano llevado. [%d]
%s stole %s.	%s robo %s.
dream of %s.	suena con %s.
but nothing happens.	pero no pasa nada.
disrupt %s!	¡interrumpe %s!
release_hold when not held?	¿release_hold cuando no se esta sujeto?
bash yourself!	¡golpeate a ti mismo!
shock yourself!	¡electrocutate a ti mismo!
fall asleep!	¡duermete!
Ow, that light hurts%c	Ay, esa luz duele%c
There's a trapdoor beneath you; it shatters.	Hay una trampilla bajo ti; se hace pedazos.
weffects: unexpected spell or wand	weffects: hechizo o vara inesperado
%s skip.	%s salta.
wrest one last charge from the worn-out wand.	arranca una ultima carga de la vara gastada.
%s to dust.	%s a polvo.
melt_ice: no pool?	melt_ice: ¿sin piscina?
Steam billows from the fountain.	El vapor sale a chorros de la fuente.
pass through the now-solid rock.	pasa a traves de la roca ahora solida.
finddpos: illegal dir	finddpos: direccion ilegal
fracture %s %s.	fractura %s %s.
trycnt overflow4	trycnt overflow4
makelevel() called when dungeon not yet initialized.	makelevel() llamado cuando la mazmorra aun no se ha inicializado.
mkinvpos called with dist %d	mkinvpos llamado con dist %d
accidentally tear the spellbook to pieces.	desgarras accidentalmente el libro de hechizos en pedazos.
find yourself reading the %s line over and over again.	te encuentras leyendo la linea %s una y otra vez.
turn the pages of the Book of the Dead...	pasas las paginas del Libro de los Muertos...
raised the dead!	¡has resucitado a los muertos!
%s shut!	¡%s cerrado!
Too many spells memorized!	¡Demasiados hechizos memorizados!
This spellbook is too faint to be read any more.	Este libro de hechizos es demasiado tenue para leerse mas.
This spellbook is too faint to read even once.	Este libro de hechizos es demasiado tenue para leerse ni siquiera una vez.
learn %s.	aprende %s.
This book is so dull that you can't keep your %s open.	Este libro es tan aburrido que no puedes mantener tus %s abiertos.
continue your efforts to %s.	continua tus esfuerzos por %s.
know "%s" quite well already.	ya conoces "%s" bastante bien.
begin to %s the runes.	empiezas a %s las runas.
Unknown spell skill, %d;	Habilidad de hechizo desconocida, %d;
%s resists.	%s resiste.
strain to recall the spell.	te esfuerzas por recordar el hechizo.
lack the strength to cast spells.	te falta fuerza para lanzar hechizos.
fail to cast the spell correctly.	fallas al lanzar el hechizo correctamente.
sense a pointy hat on top of your %s.	sientes un sombrero puntiagudo encima de tu %s.
Unknown spell %d attempted.	Hechizo desconocido %d intentado.
tport_spell: spellbook full	tport_spell: libro de hechizos lleno
Too many spells memorized	Demasiados hechizos memorizados
rn2(%d) attempted	rn2(%d) intentado
rnl(%d) attempted	rnl(%d) intentado
rnd(%d) attempted	rnd(%d) intentado
d(%d,%d) attempted	d(%d,%d) intentado
Unknown item action %d	Accion de objeto desconocida %d
merging strangely worn items (%lx)	fusionando objetos llevados extranamente (%lx)
already have amulet?	¿ya tienes amuleto?
already have candelabrum?	¿ya tienes candelabro?
already have silver bell?	¿ya tienes campana de plata?
already have the book?	¿ya tienes el libro?
already have quest artifact?	¿ya tienes el artefacto de mision?
getobj: inventory overflow	getobj: desbordamiento de inventario
bad return from getobj callback	callback de getobj devolvio mal
Persistent inventory display is empty.	La visualizacion de inventario persistente esta vacia.
No used-up objects%s.	Ningun objeto agotado%s.
%s no objects here.	%s no hay objetos aqui.
try to feel what is here.	intenta sentir que hay aqui.
try to feel what is on it.	intenta sentir que hay encima.
try to feel what is %s%s.	intenta sentir que hay %s%s.
Select an inventory slot letter.	Selecciona una letra de ranura de inventario.
%s could not be enabled.	%s no se pudo habilitar.
Couldn't place lregion type %d!	¡No se pudo colocar el tipo de lregion %d!
portal on top of portal?	¿portal sobre portal?
No %s to restore?	¿Sin %s para restaurar?
set_wportal(): no portal!	set_wportal(): ¡sin portal!
n too large (mk_bubble)	n demasiado grande (mk_bubble)
Resists_Elem(%d), unexpected property type	Resists_Elem(%d), tipo de propiedad inesperado
'Blnd_resist' but not resists_blnd()?	¿'Blnd_resist' pero no resists_blnd()?
cnt=%d using %d, cnttmp=%d, cntdiv=%d	cnt=%d usando %d, cnttmp=%d, cntdiv=%d
odd mercenary %d?	¿mercenario extrano %d?
bad weight in rndmonst for mndx %d	peso incorrecto en rndmonst para mndx %d
mkclass called with bad class!	mkclass llamado con clase incorrecta!
mkclass found no class %d monsters	mkclass no encontro monstruos de clase %d
As %s grows up into %s, %s %s!	¡Cuando %s crece hasta %s, %s %s!
bad bag o' tricks	bolsa de trucos erronea
fail to transform!	¡falla al transformarse!
I've never heard of such monsters.	Nunca he oido de tales monstruos.
merge with your scaly armor.	se fusiona con tu armadura escamosa.
no longer feel sick.	ya no te sientes enfermo.
%s can no longer contain you.	%s ya no puede contenerte.
slip out of the iron chain.	se te escapa la cadena de hierro.
slip free of the buried ball and chain.	se te escapa la bola y cadena enterradas.
orient yourself on the web.	te orientas en la telarana.
break out of your armor!	¡rompe tu armadura!
seep right through your shirt!	¡se filtra a traves de tu camisa!
become much too small for your shirt!	¡te vuelves demasiado pequeno para tu camisa!
bad breath attack?	¿ataque de aliento erroneo?
bad spit attack?	¿ataque de escupir erroneo?
bad attack type in dospit	tipo de ataque erroneo en dospit
release web fluid inside %s.	suelta fluido de telarana dentro de %s.
spin a web, covering up the pit.	teje una telarana, cubriendo el foso.
make the web thicker.	hace la telarana mas gruesa.
spin a web, jamming the trigger.	teje una telarana, atascando el disparador.
spin a web.	teje una telarana.
lack the energy to send forth a call for help!	¡te falta energia para enviar una llamada de auxilio!
call upon your brethren for help!	¡invoca a tus hermanos en busca de ayuda!
lack the energy to use your special gaze!	¡te falta energia para usar tu mirada especial!
avoid gazing at %s.	evita mirar a %s.
gaze at no place in particular.	mira a ningun lugar en particular.
Hiding under %s%s is a fatal mistake...	Esconderse bajo %s%s es un error fatal...
transform into %s.	se transforma en %s.
concentrate.	se concentra.
uunstick: no ustuck?	uunstick: ¿sin ustuck?
mbodypart: bad part %d	mbodypart: parte incorrecta %d
PREFIX too short (for %d).	PREFIX demasiado corto (para %d).
reorder_fruit: fruit index (%d) out of range	reorder_fruit: indice de fruta (%d) fuera de rango
reorder_fruit: duplicate fruit index (%d)	reorder_fruit: indice de fruta duplicado (%d)
Bad fruit #%d?	¿Fruta incorrecta #%d?
leashed %s #%u is dead	%s atado #%u esta muerto
leashed monster #%u not found	monstruo atado #%u no encontrado
plural of null?	¿plural de nulo?
singular of null?	¿singular de nulo?
%s altar.	%s altar.
%s requires door or wall location.	%s requiere ubicacion de puerta o muro.
Secret corridor requires corridor location.	El pasadizo secreto requiere ubicacion de pasillo.
Room|floor|ground not allowed here.	Sala|suelo|tierra no permitido aqui.
unknown armor category (%s => %u)	categoria de armadura desconocida (%s => %u)
This door%s.	Esta puerta%s.
'%s' prefix has no effect for the %s command.	El prefijo '%s' no tiene efecto para el comando %s.
shriek.	chilla.
Note: normally you wouldn't be allowed into explore mode.	Nota: normalmente no se te permitira entrar en modo explorar.
Beware!  From explore mode there will be no return to %s,	¡Cuidado!  Desde el modo explorar no habra vuelta a %s,
Double %s prefix, canceled.	Doble prefijo %s, cancelado.
Double rush prefix, canceled.	Doble prefijo de carrera, cancelado.
Double run prefix, canceled.	Doble prefijo de correr, cancelado.
Double fight prefix, canceled.	Doble prefijo de lucha, cancelado.
Bind which key? 	¿Que tecla vincular? 
Changed key '%s' from "%s" to "%s".	Tecla '%s' cambiada de "%s" a "%s".
Bound key '%s' to "%s".	Tecla '%s' vinculada a "%s".
Key binding failed?!	¡Vinculacion de tecla fallida?!
getdir: command queue had no dir?	getdir: ¿la cola de comandos no tenia direccion?
getpos successful but not one of [.,;:] (%d)	getpos exitoso pero no es uno de [.,;:] (%d)
yn_function() returned '%s'; using '%s' instead	yn_function() devolvio '%s'; usando '%s' en su lugar
%s would rather keep %s existing %s.	%s prefiere mantener su %s existente.
%s doesn't like being called %s.	a %s no le gusta que le llamen %s.
I'm %s, not %s.	Soy %s, no %s.
%s will not accept the name %s.	%s no aceptara el nombre %s.
%s already has a published name.	%s ya tiene un nombre publicado.
%s resists the attempt.	%s resiste el intento.
know those as well as you ever will.	conoces eso tan bien como lo conoceras jamas.
%s %s to call you "%s."	%s %s llamarte "%s."
bees in your %sbonnet!	¡abejas en tu %ssombrero!
suddenly realize it is unnaturally quiet.	de repente te das cuenta de que hay un silencio extrano.
someone counting gold coins.	alguien contando monedas de oro.
%s seems famished.	%s parece famelico.
freeze for a moment.	se congela por un momento.
They won't hear you out there.	No te oiran ahi fuera.
%s seems not to notice you.	%s parece no notarte.
Talking to yourself is a bad habit for a dungeoneer.	Hablar solo es un mal habito para un aventurero.
Any response%s%s %s.	Cualquier respuesta %s%s %s.
briefly doff your %s.	te quitas brevemente tu %s.
There's no one %s there.	No hay nadie %s ahi.
break up the cookie and throw away the pieces.	rompes la galleta y tiras los trozos.
feel the embossed numbers:	sientes los numeros en relieve:
feel the embossed words:	sientes las palabras en relieve:
feel the engraved signature:	sientes la firma grabada:
read:	lees:
This %s has no label.	Este %s no tiene etiqueta.
Being confused, you %s the magic words...	Estando confuso, %s las palabras magicas...
Nothing interesting %s.	Nada interesante %s.
Tiny lights sparkle in the air momentarily.	Pequeñas luces brillan en el aire por un momento.
rumbling.	ruido sordo.
identify this as an identify scroll.	identifica esto como un pergamino de identificacion.
You're not carrying anything%s to be identified.	No llevas nada%s que identificar.
Unfortunately, you can't grasp the details.	Desafortunadamente, no puedes captar los detalles.
This seems to be %s.	Esto parece ser %s.
Fortunately, %s is wearing a hard helmet.	Afortunadamente, %s lleva un casco duro.
%s shines briefly.	%s brilla brevemente.
%s glistens.	%s brilla.
Such creatures %s exist in this world.	Tales criaturas %s existen en este mundo.
Invalid fqn_filename_buffer specified: %d	Buffer fqn_filename invalido especificado: %d
fqname too long: %s + %s	fqname demasiado largo: %s + %s
bones file NHFILE * has odd fd (%d)	archivo bones NHFILE * tiene fd extrano (%d)
set_savefile_name() couldn't complete without overflow %d	set_savefile_name() no pudo completarse sin desbordamiento %d
Fork to %scompress %s failed.	La bifurcacion a %scomprimir %s fallo.
Error in zlib docompress_file %s	Error en zlib docompress_file %s
zlib failed to allocate memory	zlib no pudo asignar memoria
Failure reading uncompressed file	Fallo al leer archivo sin comprimir
Failure writing compressed file	Fallo al escribir archivo comprimido
Error in zlib docompress file uncompress %s	Error en zlib docompress file uncompress %s
Failure reading compressed file	Fallo al leer archivo comprimido
Failure writing uncompressed file	Fallo al escribir archivo sin comprimir
TRIED TO NEST LOCKS	SE INTENTO ANIDAR CERRADURAS
turn to stone...	se convierte en piedra...
vomit ...	vomita ...
Do not pass Go.  Do not collect 200 %s.	No pases por la salida.  No cobres 200 %s.
no words in list	sin palabras en la lista
choke, but recover your composure.	te ahogas, pero recuperas la compostura.
choke over your %s.	te ahogas con tu %s.
choke over it.	te ahogas con ello.
die...	mueres...
recalc_wt without piece	recalc_wt sin pieza
die from starvation.	mueres de inanicion.
now have a lesser case of the munchies.	ahora tienes un caso menor de antojo.
die from hunger and exhaustion.	mueres de hambre y agotamiento.
floorfood: unknown request (%s)	floorfood: peticion desconocida (%s)
breathe acid on yourself...	respiras acido sobre ti mismo...
oeaten: attempting to set 0 nutrition food (%s) partially eaten	oeaten: intentando poner comida de 0 nutrientes (%s) parcialmente comida
start playing %s.	empieza a tocar %s.
radiate an obnoxious droning sound.	emite un sonido zumbante irritante.
generate a raucous noise.	genera un ruido estridente.
blow into the horn.	sopla el cuerno.
blow into the bugle.	sopla el clarin.
pound on the drum.	golpeas el tambor.
strange truth value for rumor	valor de verdad extrano para rumor
Can't find non-cookie rumor?	¿No se encuentra rumor sin galleta?
rumors not accessible.	rumores no accesibles.
Can't open '%s' file.	No se puede abrir el archivo '%s'.
fd not in list (%d)?	¿fd no en lista (%d)?
Invalid erosion type in erode_obj	Tipo de erosion invalido en erode_obj
